icd_10,probs
B00.0,3.9443782568214164e-05
B00.1,3.9443782568214164e-05
B00.2,3.9443782568214164e-05
B00.3,3.9443782568214164e-05
B00.4,3.9443782568214164e-05
B00.50,3.9443782568214164e-05
B00.51,3.9443782568214164e-05
B00.52,3.9443782568214164e-05
B00.53,3.9443782568214164e-05
B00.59,3.9443782568214164e-05
B00.7,3.9443782568214164e-05
B00.81,3.9443782568214164e-05
B00.82,3.9443782568214164e-05
B00.89,3.9443782568214164e-05
B00.9,3.9443782568214164e-05
B01.0,0.00025449602754970595
B01.11,0.00025449602754970595
B01.12,0.00025449602754970595
B01.2,0.00025449602754970595
B01.81,0.00025449602754970595
B01.89,0.00025449602754970595
B01.9,0.00025449602754970595
B07.0,0.00013396444107026864
B07.8,0.00013396444107026864
B07.9,0.00013396444107026864
B18.0,0.0003956851332536229
B18.1,0.0003956851332536229
B18.2,0.0003956851332536229
B18.8,0.0003956851332536229
B18.9,0.0003956851332536229
B37.0,3.620445522442453e-05
B37.1,3.620445522442453e-05
B37.2,3.620445522442453e-05
B37.3,3.620445522442453e-05
B37.41,3.620445522442453e-05
B37.42,3.620445522442453e-05
B37.49,3.620445522442453e-05
B37.5,3.620445522442453e-05
B37.6,3.620445522442453e-05
B37.7,3.620445522442453e-05
B37.81,3.620445522442453e-05
B37.82,3.620445522442453e-05
B37.83,3.620445522442453e-05
B37.84,3.620445522442453e-05
B37.89,3.620445522442453e-05
B37.9,3.620445522442453e-05
C16.0,0.0001315342529716125
C16.1,0.0001315342529716125
C16.2,0.0001315342529716125
C16.3,0.0001315342529716125
C16.4,0.0001315342529716125
C16.5,0.0001315342529716125
C16.6,0.0001315342529716125
C16.8,0.0001315342529716125
C16.9,0.0001315342529716125
C18.0,0.00019462482234279896
C18.1,0.00019462482234279896
C18.2,0.00019462482234279896
C18.3,0.00019462482234279896
C18.4,0.00019462482234279896
C18.5,0.00019462482234279896
C18.6,0.00019462482234279896
C18.7,0.00019462482234279896
C18.8,0.00019462482234279896
C18.9,0.00019462482234279896
C20,0.0009626560056092948
C25.0,5.732718372562201e-05
C25.1,5.732718372562201e-05
C25.2,5.732718372562201e-05
C25.3,5.732718372562201e-05
C25.4,5.732718372562201e-05
C25.7,5.732718372562201e-05
C25.8,5.732718372562201e-05
C25.9,5.732718372562201e-05
C34.00,8.589945025355064e-05
C34.01,8.589945025355064e-05
C34.02,8.589945025355064e-05
C34.10,8.589945025355064e-05
C34.11,8.589945025355064e-05
C34.12,8.589945025355064e-05
C34.2,8.589945025355064e-05
C34.30,8.589945025355064e-05
C34.31,8.589945025355064e-05
C34.32,8.589945025355064e-05
C34.80,8.589945025355064e-05
C34.81,8.589945025355064e-05
C34.82,8.589945025355064e-05
C34.90,8.589945025355064e-05
C34.91,8.589945025355064e-05
C34.92,8.589945025355064e-05
C43.0,3.070393777531132e-05
C43.10,3.070393777531132e-05
C43.11,3.070393777531132e-05
C43.12,3.070393777531132e-05
C43.20,3.070393777531132e-05
C43.21,3.070393777531132e-05
C43.22,3.070393777531132e-05
C43.30,3.070393777531132e-05
C43.31,3.070393777531132e-05
C43.39,3.070393777531132e-05
C43.4,3.070393777531132e-05
C43.51,3.070393777531132e-05
C43.52,3.070393777531132e-05
C43.59,3.070393777531132e-05
C43.60,3.070393777531132e-05
C43.61,3.070393777531132e-05
C43.62,3.070393777531132e-05
C43.70,3.070393777531132e-05
C43.71,3.070393777531132e-05
C43.72,3.070393777531132e-05
C43.8,3.070393777531132e-05
C43.9,3.070393777531132e-05
C44.00,6.265159570698437e-05
C44.01,6.265159570698437e-05
C44.02,6.265159570698437e-05
C44.09,6.265159570698437e-05
C44.40,6.265159570698437e-05
C44.41,6.265159570698437e-05
C44.42,6.265159570698437e-05
C44.49,6.265159570698437e-05
C44.80,6.265159570698437e-05
C44.81,6.265159570698437e-05
C44.82,6.265159570698437e-05
C44.89,6.265159570698437e-05
C44.90,6.265159570698437e-05
C44.91,6.265159570698437e-05
C44.92,6.265159570698437e-05
C44.99,6.265159570698437e-05
C53.0,0.00017550506621162994
C53.1,0.00017550506621162994
C53.8,0.00017550506621162994
C53.9,0.00017550506621162994
C54.0,0.00019159443190249154
C54.1,0.00019159443190249154
C54.2,0.00019159443190249154
C54.3,0.00019159443190249154
C54.8,0.00019159443190249154
C54.9,0.00019159443190249154
C56.1,0.0002842881971456118
C56.2,0.0002842881971456118
C56.9,0.0002842881971456118
C61,0.003810429278244016
C64.1,0.00032976853602586
C64.2,0.00032976853602586
C64.9,0.00032976853602586
C67.0,6.732059137009444e-05
C67.1,6.732059137009444e-05
C67.2,6.732059137009444e-05
C67.3,6.732059137009444e-05
C67.4,6.732059137009444e-05
C67.5,6.732059137009444e-05
C67.6,6.732059137009444e-05
C67.7,6.732059137009444e-05
C67.8,6.732059137009444e-05
C67.9,6.732059137009444e-05
C73,0.0006166131982761512
C91.00,1.776096113955342e-05
C91.01,1.776096113955342e-05
C91.02,1.776096113955342e-05
C91.10,1.776096113955342e-05
C91.11,1.776096113955342e-05
C91.12,1.776096113955342e-05
C91.30,1.776096113955342e-05
C91.31,1.776096113955342e-05
C91.32,1.776096113955342e-05
C91.40,1.776096113955342e-05
C91.41,1.776096113955342e-05
C91.42,1.776096113955342e-05
C91.50,1.776096113955342e-05
C91.51,1.776096113955342e-05
C91.52,1.776096113955342e-05
C91.60,1.776096113955342e-05
C91.61,1.776096113955342e-05
C91.62,1.776096113955342e-05
C91.A0,1.776096113955342e-05
C91.A1,1.776096113955342e-05
C91.A2,1.776096113955342e-05
C91.Z0,1.776096113955342e-05
C91.Z1,1.776096113955342e-05
C91.Z2,1.776096113955342e-05
C91.90,1.776096113955342e-05
C91.91,1.776096113955342e-05
C91.92,1.776096113955342e-05
C92.00,1.5231841735670072e-05
C92.01,1.5231841735670072e-05
C92.02,1.5231841735670072e-05
C92.10,1.5231841735670072e-05
C92.11,1.5231841735670072e-05
C92.12,1.5231841735670072e-05
C92.20,1.5231841735670072e-05
C92.21,1.5231841735670072e-05
C92.22,1.5231841735670072e-05
C92.30,1.5231841735670072e-05
C92.31,1.5231841735670072e-05
C92.32,1.5231841735670072e-05
C92.40,1.5231841735670072e-05
C92.41,1.5231841735670072e-05
C92.42,1.5231841735670072e-05
C92.50,1.5231841735670072e-05
C92.51,1.5231841735670072e-05
C92.52,1.5231841735670072e-05
C92.60,1.5231841735670072e-05
C92.61,1.5231841735670072e-05
C92.62,1.5231841735670072e-05
C92.A0,1.5231841735670072e-05
C92.A1,1.5231841735670072e-05
C92.A2,1.5231841735670072e-05
C92.Z0,1.5231841735670072e-05
C92.Z1,1.5231841735670072e-05
C92.Z2,1.5231841735670072e-05
C92.90,1.5231841735670072e-05
C92.91,1.5231841735670072e-05
C92.92,1.5231841735670072e-05
D12.0,4.7413407907471704e-05
D12.1,4.7413407907471704e-05
D12.2,4.7413407907471704e-05
D12.3,4.7413407907471704e-05
D12.4,4.7413407907471704e-05
D12.5,4.7413407907471704e-05
D12.6,4.7413407907471704e-05
D12.7,4.7413407907471704e-05
D12.8,4.7413407907471704e-05
D12.9,4.7413407907471704e-05
D17.0,0.00013292088402550628
D17.1,0.00013292088402550628
D17.20,0.00013292088402550628
D17.21,0.00013292088402550628
D17.22,0.00013292088402550628
D17.23,0.00013292088402550628
D17.24,0.00013292088402550628
D17.30,0.00013292088402550628
D17.39,0.00013292088402550628
D17.4,0.00013292088402550628
D17.5,0.00013292088402550628
D17.6,0.00013292088402550628
D17.71,0.00013292088402550628
D17.72,0.00013292088402550628
D17.79,0.00013292088402550628
D17.9,0.00013292088402550628
D18.00,0.00013145307489627843
D18.01,0.00013145307489627843
D18.02,0.00013145307489627843
D18.03,0.00013145307489627843
D18.09,0.00013145307489627843
D18.1,0.00013145307489627843
D21.0,0.00010235975465021215
D21.10,0.00010235975465021215
D21.11,0.00010235975465021215
D21.12,0.00010235975465021215
D21.20,0.00010235975465021215
D21.21,0.00010235975465021215
D21.22,0.00010235975465021215
D21.3,0.00010235975465021215
D21.4,0.00010235975465021215
D21.5,0.00010235975465021215
D21.6,0.00010235975465021215
D21.9,0.00010235975465021215
D22.0,2.7603552232687096e-05
D22.10,2.7603552232687096e-05
D22.11,2.7603552232687096e-05
D22.12,2.7603552232687096e-05
D22.20,2.7603552232687096e-05
D22.21,2.7603552232687096e-05
D22.22,2.7603552232687096e-05
D22.30,2.7603552232687096e-05
D22.39,2.7603552232687096e-05
D22.4,2.7603552232687096e-05
D22.5,2.7603552232687096e-05
D22.60,2.7603552232687096e-05
D22.61,2.7603552232687096e-05
D22.62,2.7603552232687096e-05
D22.70,2.7603552232687096e-05
D22.71,2.7603552232687096e-05
D22.72,2.7603552232687096e-05
D22.9,2.7603552232687096e-05
