Term,Description
ANA ,"ANA - антинуклеарные антитела (гетерогенная группа аутоантител, направленных против компонентов собственных ядер) "
ASCA ,ASCA - антитела к сахаромицетам классов IgG и IgA 
CPAP ,CPAP - continuous positive airway pressure - режим искусственной вентиляции легких постоянным положительным давлением 
HIDA-сканирование ,HIDA-сканирование (Hepatobiliary Iminodiacetic Acid Scan) - радиоизотопное сканирование с меченными технецием производными иминодиуксусной кислоты 
PIV ,PIV - вирус парагриппа 
RSV ,"RSV - респираторный синцитиальный вирус человека (вирус, вызывающий инфекции дыхательных путей) "
THAM ,THAM (tris hydroxymethyl aminomethane) - трис (гидроксиметил) аминометан 
WPW-синдром ,"WPW синдром (синдром Вольфа- Паркинсона-Уайта) – это состояние, при котором в сердце существует дополнительный путь проведения импульса. "
ad oculos ,"Ad oculos (лат.) — наглядно, воочию "
crepitatio indux ,Crepitatio indux или Лаэнека шумы - похрустывающие или потрестивающие хрипы в начальной стадии крупозной пневмонии. 
excavatio rectovesicalis ,"Прямокишечно-пузырное углубление (excavatio rectovesicalis) - углубление в париетальной брюшине у мужчин, расположенное между мочевым пузырем и прямой кишкой, по бокам ограниченное прямокишечно-пузырными складками "
hMPV ,hMPV - метапневмовирус человека 
hernia funiculi umbilicalis ,hernia funiculi umbilicalis - грыжа пупочного канатика 
in vitro ,"In vitro (лат. ""в стекле"") — технология выполнения экспериментов, когда опыты проводятся вне живого организма, ""в пробирке"" (на культуре живых клеток или в бесклеточной модели) "
m.sternocleidomastoideus ,Грудино-ключично-сосцевидная мышца 
n. Ilioinguinalis ,нерв подвздошно-паховый 
n.genitofemoralis ,Бедренно-половой нерв 
pANCA ,pANCA - антинейтрофильные перинуклеарные IgG-антитела - аутоантитела к компонентам цитоплазмы нейтрофилов 
pulsus bisferiens ,"Двойной пульс (pulsus bisferiens) - пульс имеет два систолических пика, он характерен для аортальной недостаточности (изолированной или в сочетании со стенозом ) и гипертрофической кардиомиопатии. В последнем случае пульсовая волна вначале быстро и высоко поднимается, формируя первый пик, затем в середине систолы наступает спад, вызванный динамической обструкцией выносящего тракта левого желудочка, и затем следует вторая систолическая волна меньшей амплитуды, обусловленная, с одной стороны, продолжением изгнания крови из сердца, с другой - наложением отраженной (от участков артериального русла с повышенным сопротивлением) волны "
pulsus celer et altus ,pulsus celer et altus - скорый и высокий пульс; пульс с большой амплитудой и быстрым подъемом пульсовой волны 
pulsus parvus et tardus ,pulsus parvus et tardus - медленный и малый пульс; уменьшение амплитуды и снижение скорости подъема пульсовой волны 
spina bifida ,"Spina bifida (с лат. позвоночник расщепленный) - порок развития позвоночника, часто сочетающийся с дефектами развития спинного мозга. Порок представляет собой неполное закрытие нервной трубки в не полностью сформированном спинном мозге "
urina spastica ,"Urina spastica (мед. лат. спастическая моча) - обильное мочеотделение, наблюдаемое после эмоционального возбуждения, вегетативного криза, приступа пароксизмальной тахикардии или стенокардии "
АГ ,"АГ (артериальная гипертензия, гипертония) — стойкое повышение артериального давления от 140/90 мм рт.ст. и выше.4 "
АД ,АД - артериальное дваление 
АИТ ,АИТ - аутоиммунный тиреоидит (хроническое воспалительное заболевание щитовидной железы) 
АКТГ ,"АКТГ - гормон адренокортикотропный (Hormonum adrenocorticotropicum; АКТГ; син. адренокортикотропин, кортикотропин, кортикотрофин) - гормон передней доли гипофиза, стимулирующий функцию коркового вещества надпочечников. "
АКШ ,"Аортокоронарное шунтирование (АКШ) — операция, позволяющая восстановить кровоток в артериях сердца путём обхода места сужения коронарного сосуда с помощью шунтов "
АЛТ ,АЛТ - аланинаминотрансфераза 
АМА ,АМА - антимитохондриальные антитела 
АПУД-система ,"АПУД-система (син. диффузная нейроэндокринная система, рассеянная эндокринная система) - система клеток, отвечающих за потребление проаминов в ходе метаболизма и участвующих в процессе декарбоксилирования. Особенно много их в слизистой оболочке желудочно-кишечного тракта и поджелудочной железе, где они способны образовывать большое количество иейроаминов и олигопептидов, обладающих гормональным действием "
АПФ ,АПФ - ангиотензинпревращающий фермент 
АСТ ,АСТ - аспартатаминотрансфераза 
АТФ ,"АТФ - аденозинтрифосфат - нуклеотид, универсальный аккумулятор энергии в живых организмах и субстрат для биосинтеза нуклеиновых кислот "
АЦП ,АЦП - алкогольный цирроз печени 
АЧТВ ,АЧТВ - активированное частичное тромбопластиновое время (является показателем измерения эффективности «внутреннего» и общего пути свертывания) 
Атрезия ,Атрезия — врождённое отсутствие или приобретенное заращение естественных отверстий и каналов в организме 
Ахалазия ,Ахалазия (греч. - отсутствие расслабления) 
БДС ,"БДС (большой дуоденальный сосочек) - анатомическая структура, расположенная на конце продольной складки слизистой оболочки в середине нисходящей части двенадцатиперстной кишки примерно на 12–14 см ниже привратника "
БРА ,БРА - блокаторы рецепторов ангиотензина II 
Бильрота операция ,Бильрота операция - 1) Бильрот-I - хирургическая операция циркулярной резекции желудка с наложением гастродуоденального анастомоза конец в конец; 2) Бильрот-II - хирургическая операция циркулярной резекции желудка с ушиванием культей его и двенадцатиперстной кишки и наложением гастроеюнального анастомоза бок в бок; прототип многочисленных последующих модификаций резекции желудка 
Бронхоскопия ,"Бронхоскопия - исследование нижних дыхательных путей, основанное на осмотре внутренней поверхности трахеи и бронхов с помощью бронхоскопа; при бронхоскопии производят также удаление инородных тел и бронхиального секрета, биопсию или удаление новообразований, местное воздействие лекарственными средствами и т.д "
ВАП ,"ВАП - вентилятор-ассоциированная пневмония - это частный случай госпитальной пневмонии, развивающейся у больных, которым требуется проведение в течение длительного времени аппаратной искусственной или вспомогательной вентиляции легких "
ВГД ,ВГД - внутриглазное давление 
ВЗРП ,ВЗРП - внутриутробная задержка развития плода 
ВКС ,ВКС - внезапная коронарная смерть 
ВСДМ ,ВСДМ - высоты стояния дна матки 
ГБД ,ГБД - гидроксибутиратдегидрогеназа 
ГГТ ,"Гамма-глутамилтранспептидаза (ГГТ) — фермент, участвующий в обмене аминокислот "
ГГТП ,ГГТП - гамма-глютамилтранспептидаза0 
ГКС ,"ГКС (глюкокортикоиды, глюкокортикостероиды) - лекарственные препараты одно из ведущих свойств которых - угнетать ранние этапы синтеза основных участников формирования воспалительных процессов (простагландинов) в различных тканях и органах.2 "
ГЭК ,ГЭК - гидроксиэтилированный крахмал 
ГЭР ,ГЭР - гастроэзофагеальный рефлюкс 
ГЭРБ ,"Гастроэзофагеальная рефлюксная болезнь (ГЭРБ) - хроническое рецидивирующее заболевание, обусловленное спонтанным, регулярно повторяющимся забросом в пищевод желудочного и/или дуоденального содержимого, что приводит к поражению нижнего отдела пищевода. Часто сопровождается развитием воспаления слизистой дистального отдела пищевода - рефлюкс-эзофагитом, и/или формированием пептической язвы и пептической стриктуры пищевода, пищеводно-желудочных кровотечений и других осложнений4 "
Гаген-Торна мезосигмопликация ,Гаген-Торна мезосигмопликация - хирургическая операция уменьшения подвижности сигмовидной кишки при долихосигме (аномалия развития: удлиненные сигмовидная кишка и ее брыжейка при нормальной ширине просвета и толщине стенок кишки) путем ушивания ее брыжейки с формированием складок; предложена для предупреждения повторного заворота кишки 
Гепатаргия ,"Гепатаргия -  клинический синдром, развивающийся при тяжелой печеночной недостаточности или печеночной интоксикации и проявляющийся нервно-психическими нарушениями, появлением печеночного запаха изо рта, возможным развитием печеночной комы. "
Гиперхолестеринемия ,  Повышенное содержание холестерина в крови. 
Гипокалиемия ,  Пониженное содержание калия в сыворотке крови. 
Грэма Стилла шум ,"Грэма Стилла шум - диастолический шум, прослушиваемый в области проекции клапана легочного ствола при его относительной недостаточности, обусловленной значительной легочной гипертензией и дилатацией легочного ствола при выраженном сужении левого атриовентрикулярного отверстия "
ДВС ,"ДВС-синдром (диссеминированное внутрисосудистое свёртывание, коагулопатия потребления, тромбогеморрагический синдром) — нарушенная свёртываемость крови по причине массивного освобождения из тканей тромбопластических веществ. "
ДЖП ,ДЖП - дисфункция желчного пузыря 
ДЗЛК ,ДЗЛК - давление заклинивания в легочных капиллярах 
ДМЖП ,ДМЖП - дефект межжелудочковой перегородки 
ДМПП ,ДМПП - дефект межпредсердной перегородки 
