Age,Age_of_birth,M_City,F_City,M_Countryside,F_Countryside
0,2021,537163,506272,180079,170307
1,2020,555213,524578,181554,172020
2,2019,574278,543249,186336,175008
3,2018,624120,586426,202295,189973
4,2017,656475,621755,211358,199210
5,2016,739451,700972,229697,216762
6,2015,756929,716064,239836,226381
7,2014,727639,688675,270814,254795
8,2013,717990,680628,269955,255821
9,2012,719022,678954,273920,259902
10,2011,674191,639699,264689,249040
11,2010,632887,600523,241531,229164
12,2009,636663,604963,247854,235406
13,2008,623691,595393,254697,242592
14,2007,589281,561094,243615,230517
15,2006,549298,524216,217672,206995
16,2005,559341,536833,207218,198154
17,2004,563843,537835,208647,198865
18,2003,558905,539863,197719,189254
19,2002,537484,522290,195739,183141
20,2001,503121,488645,187709,176124
21,2000,519715,500256,194400,181504
22,1999,480822,465104,191324,180816
23,1998,493766,483216,205186,191319
24,1997,475235,470040,198404,186701
25,1996,513347,497940,215892,193384
26,1995,550909,539380,227871,195143
27,1994,597128,579815,221644,186211
28,1993,613218,615523,213165,168683
29,1992,732980,753215,213485,155858
30,1991,832074,830504,223783,174098
31,1990,933985,948238,266752,208421
32,1989,935140,962161,277051,221908
33,1988,963096,999484,295180,239932
34,1987,1003346,1037065,311337,256810
35,1986,992087,1030660,303716,258308
36,1985,974014,1026605,290628,253704
37,1984,947714,991246,282852,251051
38,1983,961758,1009147,285778,256761
39,1982,892963,946769,269196,245161
40,1981,844225,898060,256431,237693
41,1980,900435,958040,264393,250820
42,1979,809851,874273,251111,240896
43,1978,791945,869465,248781,244243
44,1977,755548,840652,242999,241794
45,1976,757492,846494,245288,246294
46,1975,757131,855867,245238,249963
47,1974,720570,812785,239687,246403
48,1973,697677,788681,231572,239444
49,1972,691267,788195,235608,243192
50,1971,661463,750584,230681,239431
51,1970,692414,781491,235847,243897
52,1969,595478,694392,222766,233091
53,1968,575181,678939,225645,237197
54,1967,550614,665460,223960,237336
55,1966,554626,686402,233023,250061
56,1965,585034,732248,239688,258967
57,1964,579893,745835,244528,267705
58,1963,610807,796537,261164,288537
59,1962,617920,830463,267528,298470
60,1961,634763,867876,277624,311010
61,1960,682064,936090,290315,328491
62,1959,597326,870735,267413,311814
63,1958,580802,870709,255168,306706
64,1957,549543,844340,241956,295434
65,1956,514598,820819,221606,282193
66,1955,502110,829457,209858,277306
67,1954,479694,820798,198883,273116
68,1953,422870,739457,170447,240229
69,1952,409567,741085,164400,239058
70,1951,379230,705076,148593,223591
71,1950,379210,698881,138936,213309
72,1949,350426,694664,133424,212700
73,1948,283120,568839,101512,167154
74,1947,266474,545565,89168,154549
75,1946,225680,480954,73157,135666
76,1945,139171,295625,39000,75580
77,1944,93393,210844,28807,59231
78,1943,79492,181657,26887,59980
79,1942,98783,257914,38629,92361
80,1941,139160,384624,54391,138392
81,1940,143708,392423,54905,144175
82,1939,130815,396970,53341,147141
83,1938,115715,368710,48110,136795
84,1937,112711,345214,43079,119247
85,1936,76957,239706,33143,95469
86,1935,59449,186805,25303,74491
87,1934,38755,127233,16680,51433
88,1933,29689,101418,13281,42363
89,1932,31469,106495,14408,45579
90,1931,25307,84796,10918,36231
91,1930,30173,87428,12209,38771
92,1929,16548,56479,7098,25393
93,1928,14407,47854,6122,23042
94,1927,11241,33499,4376,15401
95,1926,8529,24666,3539,11245
96,1925,7174,18738,2531,8226
97,1924,5280,14203,1976,6110
98,1923,3841,9052,1240,3355
99,1922,3000,5747,729,1988
