icd_10,Name,Name_DO,symptoms,names_ru,symptoms_ru_no_stat,InRuMedTop3
B00.0,eczema herpeticum,eczema herpeticum,,Герпетическая экзема,"повышение температуры тела, увеличение лимфатических узлов, специфическая кожная сыпь переходящая в кровоточащие эрозии",0
B00.1,herpesviral vesicular dermatitis,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Nausea', 'Paralysis', 'Fever of Unknown Origin', 'Myoclonus', 'Confusion', 'Pain', 'Headache', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Blindness', 'Pain, Postoperative', 'Jaundice', 'Pruritus', 'Hearing Loss, Sudden', 'Skin Manifestations']",Герпетический везикулярный дерматит,,0
B00.2,herpesviral gingivostomatitis and pharyngotonsillitis,,,Герпетический гингивостоматит и фаринготонзиллит,"Боль в горле, Дискомфорт в горле, Боль в мышцах, Головная боль, Головокружение, Трудности при глотании, Расстройство сна, Жжение в горле",0
B00.3,herpesviral meningitis,,,Герпетический менингит,"лихорадочное состояние с высокой температурой и выраженным общим недомоганием, гипергидроз, мышечнымые боли, рвота вне связи с приемом пищи",0
B00.4,herpesviral encephalitis,,"['Fever', 'Hypothermia', 'Body Weight', 'Muscle Weakness', 'Seizures', 'Paralysis', 'Hearing Disorders', 'Hearing Loss, Sensorineural', 'Fever of Unknown Origin', 'Dyskinesias', 'Ataxia', 'Athetosis', 'Chorea', 'Hyperkinesis', 'Psychomotor Agitation', 'Meningism', 'Catatonia', 'Language Disorders', 'Aphasia', 'Aphasia, Broca', 'Dysarthria', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Amnesia', 'Hallucinations', 'Low Back Pain', 'Headache', 'Neuralgia', 'Facial Paralysis', 'Hemiplegia', 'Pseudobulbar Palsy', 'Paresis', 'Hearing Loss, Bilateral', 'Olfaction Disorders', 'Vision Disorders', 'Blindness', 'Hemianopsia', 'Vomiting', 'Urinary Incontinence', 'Lethargy', 'Perceptual Disorders', 'Photophobia', 'Persistent Vegetative State', 'Agnosia', 'Korsakoff Syndrome', 'Anomia', 'Amnesia, Anterograde', 'Amnesia, Retrograde', 'Aerophagy', 'Eructation', 'Amnesia, Transient Global', 'Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Anorexia', 'Dyspnea', 'Respiratory Sounds', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Sleep Disorders', 'Oral Manifestations', 'Diarrhea', 'Fever of Unknown Origin', 'Fatigue', 'Hypergammaglobulinemia', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Akathisia, Drug-Induced', 'Tremor', 'Catatonia', 'Language Disorders', 'Aphasia', 'Learning Disorders', 'Consciousness Disorders', 'Coma', 'Memory Disorders', 'Amnesia', 'Mental Retardation', 'Hallucinations', 'Psychomotor Disorders', 'Pain', 'Back Pain', 'Headache', 'Neuralgia', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Paresis', 'Sensation Disorders', 'Dizziness', 'Olfaction Disorders', 'Hyperalgesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Vertigo', 'Voice Disorders', 'Abdomen, Acute', 'Arthralgia', 'Constipation', 'Vomiting', 'Jaundice', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hemoglobinuria', 'Neurologic Manifestations', 'Phantom Limb', 'Spasm', 'Hearing Loss, Sudden', 'Skin Manifestations', 'Perceptual Disorders', 'Eye Manifestations', 'Oliguria']",Герпетический энцефалит,,0
B01.0,varicella meningitis,,,Ветряная оспа с менингитом,"Повышение температуры тела, Увеличение лимфатических узлов, Головная боль, Отсутствие аппетита, общая слабость, Сыпь.",0
B07.0,plantar wart,plantar wart,,,,0
B07.8,other viral warts,,,,,0
B07.9,"viral wart, unspecified",,,Вирусные бородавки,,0
B18.0,chronic viral hepatitis b with delta-agent,,,Хронический вирусный гепатит B с дельта-агентом,"вялость, повышенная утомляемость, слабость",0
B18.1,chronic viral hepatitis b without delta-agent,,"['Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Abdominal Pain', 'Anorexia', 'Cough', 'Dyspnea', 'Proteinuria', 'Obesity', 'Hearing Loss, Sensorineural', 'Overweight', 'Fatigue', 'Hypergammaglobulinemia', 'Cerebrospinal Fluid Otorrhea', 'Dyskinesias', 'Dystonia', 'Mental Retardation', 'Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Tinnitus', 'Arthralgia', 'Angina Pectoris', 'Earache', 'Toothache', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hearing Loss, Sudden']",Хронический вирусный гепатит B без дельта-агента,,0
B18.2,chronic viral hepatitis c,,"['Fever', 'Body Weight', 'Weight Loss', 'Cyanosis', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Respiratory Sounds', 'Proteinuria', 'Obesity', 'Edema', 'Hearing Loss', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Diarrhea', 'Sneezing', 'Asthenia', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hypergammaglobulinemia', 'Ataxia', 'Chorea', 'Dystonia', 'Psychomotor Agitation', 'Akathisia, Drug-Induced', 'Gait Disorders, Neurologic', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Delirium', 'Coma', 'Memory Disorders', 'Psychomotor Disorders', 'Pain', 'Headache', 'Facial Paralysis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Tinnitus', 'Olfaction Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Vertigo', 'Abdomen, Acute', 'Arthralgia', 'Constipation', 'Jaundice', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Albuminuria', 'Hemoglobinuria', 'Torticollis', 'Hearing Loss, Sudden', 'Chills', 'Livedo Reticularis', 'Hearing Loss, Unilateral', 'Purpura, Hyperglobulinemic', 'Ageusia']",Хронический вирусный гепатит C,,0
B18.8,,,,Другой хронический вирусный гепатит,,0
