mkb_cod,mkb_name,class_id
A00,Холера,0101
A00.0,"Холера, вызванная холерным вибрионом 01, биовар cholerae",0101
A00.1,"Холера, вызванная холерным вибрионом 01, биовар eltor",0101
A00.9,Холера неуточненная,0101
A01,Тиф и паратиф,0101
A01.0,Брюшной тиф,0101
A01.1,Паратиф A,0101
A01.2,Паратиф B,0101
A01.3,Паратиф C,0101
A01.4,Паратиф неуточненный,0101
A02,Другие сальмонеллезные инфекции,0101
A02.0,Сальмонеллезный энтерит,0101
A02.1,Сальмонеллезная септицемия,0101
A02.2,Локализованная сальмонеллезная инфекция,0101
A02.8,Другая уточненная сальмонеллезная инфекция,0101
A02.9,Сальмонеллезная инфекция неуточненная,0101
A03,Шигеллез,0101
A03.0,"Шигеллез, вызванный Shigella dysenteriae",0101
A03.1,"Шигеллез, вызванный Shigella flexneri",0101
A03.2,"Шигеллез, вызванный Shigella boydii",0101
A03.3,"Шигеллез, вызванный Shigella sonnei",0101
A03.8,Другой шигеллез,0101
A03.9,Шигеллез неуточненный,0101
A04,Другие бактериальные кишечные инфекции,0101
A04.0,"Энтеропатогенная инфекция, вызванная Escherichia coli",0101
A04.1,"Энтеротоксигенная инфекция, вызванная Escherichia coli",0101
A04.2,"Энтероинвазивная инфекция, вызванная Escherichia coli",0101
A04.3,"Энтерогеморрагическая инфекция, вызванная Escherichia coli",0101
A04.4,"Другие кишечные инфекции, вызванные Escherichia coli",0101
A04.5,"Энтерит, вызванный Campylobacter",0101
A04.6,"Энтерит, вызванный Yersinia enterocolitica",0101
A04.7,"Энтероколит, вызванный Clostridium difficile",0101
A04.8,Другие уточненные бактериальные кишечные инфекции,0101
A04.9,Бактериальная кишечная инфекция неуточненная,0101
A05,Другие бактериальные пищевые отравления,0101
A05.0,Стафилококковое пищевое отравление,0101
A05.1,Ботулизм,0101
A05.2,"Пищевое отравление, вызванное Clostridium perfringens [Clostridium welchii]",0101
A05.3,"Пищевое отравление, вызванное Vibrio parahaemolyticus",0101
A05.4,"Пищевое отравление, вызванное Bacillus cereus",0101
A05.8,Другие уточненные бактериальные пищевые отравления,0101
A05.9,Бактериальное пищевое отравление неуточненное,0101
A06,Амебиаз,0101
A06.0,Острая амебная дизентерия,0101
A06.1,Хронический кишечный амебиаз,0101
A06.2,Амебный недизентерийный колит,0101
A06.3,Амебома кишечника,0101
A06.4,Амебный абсцесс печени,0101
A06.5,Амебный абсцесс легкого,0101
A06.6,Амебный абсцесс головного мозга,0101
A06.7,Кожный амебиаз,0101
A06.8,Амебная инфекция другой локализации,0101
A06.9,Амебиаз неуточненный,0101
A07,Другие протозойные кишечные болезни,0101
A07.0,Балантидиаз,0101
A07.1,Жиардиаз [лямблиоз],0101
A07.2,Криптоспоридиоз,0101
A07.3,Изоспороз,0101
A07.8,Другие уточненные протозойные кишечные болезни,0101
A07.9,Протозойная кишечная болезнь неуточненная,0101
A08,Вирусные и другие уточненные кишечные инфекции,0101
A08.0,Ротавирусный энтерит,0101
A08.1,"Острая гастроэнтеропатия, вызванная возбудителем Норволк",0101
A08.2,Аденовирусный энтерит,0101
A08.3,Другие вирусные энтериты,0101
A08.4,Вирусная кишечная инфекция неуточненная,0101
A08.5,Другие уточненные кишечные инфекции,0101
A09,Диарея и гастроэнтерит предположительно инфекционного происхождения,0101
A09.9,Диарея и гастроэнтерит предположительно инфекционного происхождения,0101
A15,"Туберкулез органов дыхания, подтвержден. бактериологически и гистологически",0102
A15.0,"Туберкулез легких, подтв. бактериоскопич. с налич.или отсутст. роста культ.",0102
A15.1,"Туберкулез легких, подтвержденный только ростом культуры",0102
A15.2,"Туберкулез легких, подтвержденный гистологически",0102
A15.3,"Туберкулез легких, подтвержденный неуточненными методами",0102
A15.4,"Туберкулез внутригрудных лимфатич. узлов, подтв. бактериолог. и гистологич.",0102
A15.5,"Туберкулез гортани, трахеи и бронхов, подтвержд. бактериолог. и гистологич.",0102
A15.6,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически",0102
A15.7,"Первичный туберкулез органов дыхания, подтвержд. бактериолог. и гистологич.",0102
A15.8,"Туберкулез других органов дыхания, подтвержд. бактериолог. и гистологич.",0102
A15.9,"Туберкулез органов дыхания неут.локализ., подтв. бактериолог. и гистологич.",0102
A16,"Туберкулез органов дыхания, не подтвержд. бактериологически или гистологич.",0102
A16.0,Туберкулез легких при отрицат. результ. бактериологич. и гистолог. исслед.,0102
A16.1,Туберкулез легких без проведения бактериологич. и гистологич. исследований,0102
A16.2,Туберкулез легких без упоминания о бактериологич. или гистол. подтверждении,0102
A16.3,Туберкулез внутригрудн. лимфат. узлов без упомин. о бактер. или гист.подтв.,0102
A16.4,"Туберкулез гортани, трахеи и бронхов без упомин. о бактер. или гист. подтв.",0102
A16.5,Туберкулезный плеврит без упомин. о бактериологич. или гистол. подтвержд.,0102
A16.7,Первичный туберкулез органов дыхания без упомин. о бактер. или гист. подтв.,0102
A16.8,Туберкулез других органов дыхания без упомин. о бактер. или гист. подтв.,0102
A16.9,Туберкулез органов дыхания неут. лок. без упомин. о бактер. или гист.подтв.,0102
A17,Туберкулез нервной системы,0102
A17.0,Туберкулезный менингит,0102
A17.1,Менингеальная туберкулема,0102
A17.8,Туберкулез нервной системы других локализаций,0102
A17.9,Туберкулез нервной системы неуточненный,0102
A18,Туберкулез других органов,0102
A18.0,Туберкулез костей и суставов,0102
A18.1,Туберкулез мочеполовых органов,0102
A18.2,Туберкулезная периферическая лимфаденопатия,0102
A18.3,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов",0102
A18.4,Туберкулез кожи и подкожной клетчатки,0102
A18.5,Туберкулез глаза,0102
A18.6,Туберкулез уха,0102
A18.7,Туберкулез надпочечников,0102
A18.8,Туберкулез других уточненных органов,0102
A19,Милиарный туберкулез,0102
A19.0,Острый милиарный туберкулез одной уточненной локализации,0102
A19.1,Острый милиарный туберкулез множественной локализации,0102
A19.2,Острый милиарный туберкулез неуточненной локализации,0102
A19.8,Другие формы милиарного туберкулеза,0102
A19.9,Милиарный туберкулез неуточненной локализации,0102
A20,Чума,0103
A20.0,Бубонная чума,0103
A20.1,Целлюлярнокожная чума,0103
A20.2,Легочная чума,0103
A20.3,Чумной менингит,0103
A20.7,Септическая чума,0103
A20.8,Другие формы чумы,0103
A20.9,Чума неуточненная,0103
A21,Туляремия,0103
A21.0,Ульцерогландулярная туляремия,0103
A21.1,Окулогландулярная туляремия,0103
A21.2,Легочная туляремия,0103
A21.3,Желудочно-кишечная туляремия,0103
A21.7,Генерализованная туляремия,0103
A21.8,Другие формы туляремии,0103
A21.9,Туляремия неуточненная,0103
A22,Сибирская язва,0103
A22.0,Кожная форма сибирской язвы,0103
A22.1,Легочная форма сибирской язвы,0103
A22.2,Желудочно-кишечная форма сибирской язвы,0103
A22.7,Сибиреязвенная септицемия,0103
A22.8,Другие формы сибирской язвы,0103
A22.9,Сибирская язва неуточненная,0103
A23,Бруцеллез,0103
A23.0,"Бруцеллез, вызванный Brucella melitensis",0103
A23.1,"Бруцеллез, вызванный Brucella abortus",0103
A23.2,"Бруцеллез, вызванный Brucella suis",0103
A23.3,"Бруцеллез, вызванный Brucella canis",0103
A23.8,Другие формы бруцеллеза,0103
A23.9,Бруцеллез неуточненный,0103
A24,Сап и мелиоидоз,0103
A24.0,Сап,0103
A24.1,Острый и молниеносный мелиоидоз,0103
A24.2,Подострый и хронический мелиоидоз,0103
A24.3,Другой уточненный мелиоидоз,0103
A24.4,Мелиоидоз неуточненный,0103
A25,Лихорадка от укуса крыс,0103
A25.0,Спириллез,0103
A25.1,Стрептобациллез,0103
A25.9,Лихорадка от укуса крыс неуточненная,0103
A26,Эризипелоид,0103
A26.0,Кожный эризипелоид,0103
A26.7,"Септицемия, вызванная Erysipelothrix",0103
A26.8,Другие формы эризипелоида,0103
A26.9,Эризипелоид неуточненный,0103
A27,Лептоспироз,0103
A27.0,Лептоспироз желтушно-геморрагический,0103
A27.8,Другие формы лептоспироза,0103
A27.9,Лептоспироз неуточненный,0103
A28,"Другие бактериальные зоонозы, не классифицированные в других рубриках",0103
A28.0,Пастереллез,0103
A28.1,Лихорадка от кошачьих царапин,0103
A28.2,Экстраинтестинальный иерсиниоз,0103
A28.8,"Другие уточненные бактериальные зоонозы, НКДР",0103
A28.9,Бактериальные зоонозы неуточненные,0103
A30,Лепра [болезнь Гансена],0104
A30.0,Недифференцированная лепра,0104
A30.1,Туберкулоидная лепра,0104
A30.2,Пограничная туберкулоидная лепра,0104
A30.3,Пограничная лепра,0104
A30.4,Пограничная лепроматозная лепра,0104
A30.5,Лепроматозная лепра,0104
A30.8,Другие формы лепры,0104
A30.9,Лепра неуточненная,0104
A31,"Инфекции, вызванные другими микобактериями",0104
A31.0,"Легочная инфекция, вызванная Micobacterium",0104
A31.1,"Кожная инфекция, вызванная Micobacterium",0104
A31.8,"Другие инфекции, вызванные Micobacterium",0104
A31.9,"Инфекция, вызванная Micobacterium, неуточненная",0104
A32,Листериоз,0104
A32.0,Кожный листериоз,0104
A32.1,Листериозный менингит и менингоэнцефалит,0104
A32.7,Листериозная септицемия,0104
A32.8,Другие формы листериоза,0104
A32.9,Листериоз неуточненный,0104
A33,Столбняк новорожденного,0104
A33.9,Столбняк новорожденного,0104
A34,Акушерский столбняк,0104
A34.9,Акушерский столбняк,0104
A35,Другие формы столбняка,0104
A35.9,Другие формы столбняка,0104
A36,Дифтерия,0104
A36.0,Дифтерия глотки,0104
A36.1,Дифтерия носоглотки,0104
A36.2,Дифтерия гортани,0104
A36.3,Дифтерия кожи,0104
A36.8,Другая дифтерия,0104
A36.9,Дифтерия неуточненная,0104
A37,Коклюш,0104
A37.0,"Коклюш, вызванный Bordetella pertussis",0104
A37.1,"Коклюш, вызванный Bordetella parapertussis",0104
A37.8,"Коклюш, вызванный другим уточненным возбудителем вида Bordetella",0104
A37.9,Коклюш неуточненный,0104
A38,Скарлатина,0104
A38.9,Скарлатина,0104
A39,Менингококковая инфекция,0104
A39.0,Менингококковый менингит,0104
A39.1,Синдром Уотерхауса-Фридериксена,0104
A39.2,Острая менингококкемия,0104
A39.3,Хроническая менингококкемия,0104
A39.4,Менингококкемия неуточненная,0104
A39.5,Менингококковая болезнь сердца,0104
A39.8,Другие менингококковые инфекции,0104
A39.9,Менингококковая инфекция неуточненная,0104
A40,Стрептококковая септицемия,0104
A40.0,"Септицемия, вызванная стрептококком группы A",0104
A40.1,"Септицемия, вызванная стрептококком группы B",0104
A40.2,"Септицемия, вызванная стрептококком группы D",0104
A40.3,"Септицемия, вызванная Streptococcus pneumoniae",0104
A40.8,Другие стрептококковые септицемии,0104
