symp_eng,symp_ru
Somatosensory Disorders,Соматосенсорные расстройства
"Syncope, Vasovagal",вазовагальный обморок
Purpura Fulminans,молниеносная пурпура
Hirsutism,гирсутизм
Dysphonia,дисфония
Dysuria,дизурия
"Dyslexia, Acquired",приобретенная дислексия 
Weight Loss,потеря веса
Vision Disorders,Нарушения зрения
Gait Ataxia,атактическая походка
Lethargy,летаргия
"Amnesia, Anterograde",Антероградная амнезия
Polyuria,полиурия
Respiratory Aspiration,Респираторная аспирация
Hypoventilation,Гиповентиляция
Encopresis,Энкопрез
Agraphia,Аграфия
Articulation Disorders,Расстройства артикуляции
Voice Disorders,Голосовые расстройства
Mental Fatigue,Умственная усталость
Anoxia,Аноксия
Aphonia,Афония
Diplopia,Диплопия
Snoring,Храп
Amblyopia,"амблиопия, ослабление зрения"
Toothache,зубная боль
Muscle Weakness,Мышечная слабость
Amnesia,Амнезия
Mental Retardation,Умственная отсталость
Arthralgia,артралгия
Purpura,Пурпура
Virilism,"вирилизм, маскулинизм"
Psychomotor Agitation,Психомоторное возбуждение
Auditory Perceptual Disorders,Расстройства слухового восприятия
Headache,"головная боль, цефалгия"
Chills,Озноб
Anomia,"аномия, номинативная афазия"
Chest Pain,Боль в груди
Presbycusis,"пресбиакузис, старческая глухота, старческая тугоухость"
"Pain, Referred",направленная боль
Muscle Hypertonia,Мышечный гипертонус
Dyspepsia,диспепсия
Stuttering,заикание
Color Vision Defects,Дефекты цветного зрения
Hyperkinesis,гиперкинезия
Gerstmann Syndrome,Синдром Герстмана
"Angina, Unstable",нестабильная стенокардия 
"Urinary Bladder, Overactive",гиперактивность мочевого пузыря 
Waterhouse-Friderichsen Syndrome,Синдром Уотерхауза-Фридериксена
Dystonia,дистония
"Apraxia, Ideomotor","Апраксия, идеомоторная"
Cheyne-Stokes Respiration,Дыхание Чейна-Стокса
Myotonia,миотония
Birth Weight,Вес при рождении
Hypercalciuria,гиперкальциурия
"Hearing Loss, High-Frequency",Потеря слуха высокой частоты
Usher Syndromes,Синдром Ушера
Bulimia,булимия
Dysgeusia,"исгевзия, извращение вкуса"
"Ophthalmoplegia, Chronic Progressive External","Офтальмоплегия, хроническая прогрессирующая наружная"
Fetal Hypoxia,Гипоксия плода
Hemiplegia,гемиплегия
Muscle Cramp,Мышечная судорога
"Urinary Bladder, Neurogenic",нейрогенный мочевой пузырь 
Weight Gain,Увеличение веса
Back Pain,Боль в спине
Decerebrate State,Децеребрационное состояние
Synkinesis,синкинезия
Brown-Sequard Syndrome,Синдром Брауна-Секара
Ageusia,агевзия
"Jaundice, Obstructive",обтурационная желтуха 
"Hearing Loss, Sudden",внезапная потеря слуха 
Chorea,хорея
Ophthalmoplegia,офтальмоплегия
"Purpura, Hyperglobulinemic",гиперглобулинемия пурпура 
Feminization,феминизация
"Pain, Postoperative",Послеоперационная боль 
Glossalgia,"глоссалгия, глоссодиния"
Muscle Hypotonia,Мышечная гипотония
Pupil Disorders,Расстройства зрачка
Apraxias,Бездействие
Hot Flashes,горячие вспышки
Hyperventilation,гипервентиляция
Low Back Pain,"боль низа спины, Люмбаго"
Agnosia,агнозия
"Purpura, Thrombocytopenic, Idiopathic",тромбоцитопеническая идиопатическая пурпура
Tinea Pedis,Стригущий лишай стопы
Anorexia,анорексия
Phantom Limb,фантомная конечность
Gait Apraxia,Походка Апраксия
"Amnesia, Transient Global",Амнезия преходящая глобальная
Hyperoxia,гипероксия
"Hearing Loss, Conductive",Потеря слуха кондуктивная
Paraplegia,"параплегия, паралич верхних или нижних конечностей"
Obesity,"ожирение, тучность, фактор насыщения"
Consciousness Disorders,Расстройства сознания
"Purpura, Schoenlein-Henoch",Пурпура Шенлейна-Еноха
Hypergammaglobulinemia,гипергаммаглобулинемия
Colic,Колики
Meningism,менингизм
"Neuralgia, Postherpetic",Постгерпетическая невралгия
Fever of Unknown Origin,Лихорадка неизвестного происхождения
Paresthesia,"парестезия, спонтанно возникающее неприятное ощущение онемения, покалывания, жжения "
Motion Sickness,Морская болезнь
Prosopagnosia,прозопагнозия
Intermittent Claudication,Перемежающаяся хромота
Hallucinations,Галлюцинации
Respiratory Sounds,"распиратоные звуки, хрипы в грудной клетке "
Sciatica,радикулит
Pain,Боль
Cachexia,кахексия
Pelvic Pain,Боль в области таза
Deafness,Глухота
Sleep Deprivation,Недостаток сна
Coma,кома
Pallor,бледность
Dysarthria,"дизартрия, дизартроз"
Eye Pain,Глазная боль
Earache,"боль в ухе, оталгия, отодиния"
Abdominal Pain,Боль в животе
Aphasia,"афазия, афразия, алогия, логагнозия, логастения, словесная глухота "
Mouth Breathing,Ротовое дыхание
Fever,"Высокая температура, температура"
Pseudobulbar Palsy,Псевдобульбарный паралич
"Hearing Loss, Sensorineural",Потеря слуха нейросенсорная
Constipation,"констипация, обстипация, коп-ростаз, запор"
Olfaction Disorders,Расстройства обоняния
Hyperesthesia,гиперестезия
Vertigo,"вертиго, головокружение"
Facial Pain,лицевая боль
Hemifacial Spasm,Гемифациальный спазм
Hearing Disorders,Нарушения слуха
"Purpura, Thrombocytopenic",Пурпура тромбоцитопеническая идиопатическая
Speech Disorders,Расстройства речи
Hyperacusis,гиперакузия
Hypocapnia,гипокапния
Systolic Murmurs,Систолические шумы
Eye Manifestations,галзные проявления
Torticollis,кривошея
Tics,Тики
Confusion,спутанное сознание
