,Index,Симптомы,МКБ_10
0,Агранулоцитоз,"представляет собой патологическое состояние, при котором наблюдается снижение уровня лейкоцитов (менее 1·109/л) за счёт гранулоцитов (менее 0,75·109/л) и моноцитов[2], повышается восприимчивость организма к бактериальным и грибковым инфекциям",D70
1,Агранулоцитоз,"В зависимости от патогенеза выделяют миелотоксический агранулоцитоз (цитостатическая болезнь) и иммунный, который связан с образованием антител к экзогенным антигенам — гаптенам (гаптеновый, лекарственный) агранулоцитоз, или аутоиммунный (при коллагенозах, лимфомах, вирусных гепатитах)",D70
2,Агранулоцитоз,"Гаптеновый агранулоцитоз может возникнуть в результате приёма диакарба (диамокса), амидопирина, антипирина, ацетилсалициловой кислоты (аспирина), метамизола натрия (анальгина), барбитуратов, изониазида (тубазида), мепротана (мепробамата), фенацетина, бутадиона, новокаинамида (прокаинамида), индометацина, левамизола, сульфаниламидов, метициллина, триметоприма (входит в состав бактрима), хингамина (хлорохина), инсектицидов, клозапина (азалептина) и др",D70
3,Агранулоцитоз,"Впервые агранулоцитоз был описан в 1922 году Вернером Шульцем, в 1931 году независимо от него — R. R. Kracke. Широкое использование цитостатической терапии (и медикаментозной, и лучевой), а также большого количества новых лекарственных средств привело к повышению частоты этого синдрома",D70
4,Агранулоцитоз,"Для многих форм агранулоцитоза патогенез изучен недостаточно. При аутоиммунных формах поражения происходит гибель гранулоцитов в результате их контакта с аутоантителами. Механизм индивидуальной реакции организма на введение медикамента при гаптеновом агранулоцитозе до конца не изучен. Однажды возникнув, гаптеновый агранулоцитоз будет неизменно повторяться при введении в организм того же препарата — гаптена.",D70
5,Агранулоцитоз,"Клиническая картина во многом напоминает симптомы цитостатической болезни и проявляется в виде поражения организма различными инфекциями в результате снижения эффективности иммунного ответа. Характерны (особенно при лекарственном агранулоцитозе) острое начало и быстрое нарастание клинических симптомов. Иногда возникновению основных признаков агранулоцитоза предшествует короткий скрытый период, характеризующийся слабостью, недомоганием, головными болями[4]. К первым клиническим проявлениям агранулоцитоза относятся лихорадка, афтозный стоматит, ангина[4], озноб, артралгия[2]. Развиваются язвенно-некротические поражения слизистой оболочки полости рта в виде изъязвлений, покрытых сероватым налётом, некротических бляшек и язв с грязно-серым налётом на миндалинах (агранулоцитарная ангина)",D70
6,Агранулоцитоз,"Процесс распространяется на нёбные дужки, язычок, твёрдое нёбо, дёсны и порой сопровождается незначительным увеличением регионарных лимфатических узлов, чаще всего шейных и подчелюстных. Данные изменения могут быть также на слизистой оболочке желудочно-кишечного тракта, лёгких, печени, мочевого пузыря, половых органов",D70
7,Агранулоцитоз,"При гаптеновом агранулоцитозе развитие болезни бурное. После приёма препаратов, вызвавших агранулоцитоз, возникает нарастающая слабость, боль в горле, повышение температуры тела до 39—40 °С, появляется и нарастает гнилостный (путридный) запах изо рта (глоточно-ротовая форма). Нередко развиваются стоматит, ларингоспазм и асфиксия по причине скопления некротических плёнок и отёка гортани. К ошибке в диагностике может привести тот факт, что начальные проявления кишечно-некротической энтеропатии и поражение слизистых оболочек ротовой полости опережают появление лабораторных показателей агранулоцитоза",D70
8,Агранулоцитоз,"К ним относятся, в частности, некротическая энтеропатия (чаще отмечается при миелотоксическом агранулоцитозе), пневмония, токсический гепатит",D70
9,Агранулоцитоз,"Клинические проявления некротической энтеропатии могут быть выражены слабо: вздутие живота, несильные схваткообразные боли, жидкие или кашицеобразные испражнения, урчание в животе и плеск. Перистальтика при этом осложнении обычно сохранена, симптомы раздражения брюшины выражены нечётко. Прогрессирование энтеропатии может вызвать перфорацию стенки кишки и перитонит, а также септицемию грамотрицательной флорой и эндотоксический шок. Сепсис, вызванный кишечной флорой, может привести к летальному исходу",D70
10,Агранулоцитоз,"Для пневмонии, развивающейся вследствие агранулоцитоза, характерна скудость физикальных и рентгенологических данных[4]. Могут отсутствовать кашель и мокрота, заболевание при этом проявляется высокой температурой тела, одышкой смешанного характера[2]. Лишь при восстановлении количества гранулоцитов в крови клиническая картина пневмонии становится типичной",D70
11,Агранулоцитоз,"Токсический гепатит при агранулоцитозе развивается часто; он обусловлен как некрозами в ткани печени, так и непосредственным воздействием причины, вызвавшей агранулоцитоз",D70
12,Агранулоцитоз,"В первую очередь необходимо устранение этиологического повреждающего фактора, срочная госпитализация больного агранулоцитозом, желательно в гематологическое отделение, и помещение его в стерильные условия[2] (изолятор, ультрафиолетовое облучение воздуха с защитой больного, персонал входит в масках, шапочках, бахилах). Необходим тщательный уход за кожей и слизистыми оболочками. Подкожные и внутримышечные инъекции следует заменить внутривенными, чтобы предотвратить развитие абсцессов",D70
13,Агранулоцитоз,"Назначаются антибиотики широкого спектра действия, по показаниям — противогрибковые и противовирусные препараты, иммуноглобулин. Могут применяться также препараты гранулоцитарного колониестимулирующего фактора (КСФ). При некротической энтеропатии больному следует проводить парентеральное питание",D70
14,Агранулоцитоз,"При аутоиммунном агранулоцитозе производится угнетение аутоиммунной агрессии, больному показаны глюкокортикоиды в высоких дозах (60—100 мг/сут) до нормализации числа гранулоцитов в крови с последующей постепенной отменой гормонов. При гаптеновом агранулоцитозе введение глюкокортикоидов не эффективно.",D70
15,Агранулоцитоз,"При лечении цитостатического агранулоцитоза средствами выбора являются препараты рекомбинантных гемопоэтических факторов роста: Г-КСФ, ГМ-КСФ, интерлейкин-1 и интерлейкин-3",D70
16,Агранулоцитоз,"Прогноз условно неблагоприятный и во многом определяется основным заболеванием (системная красная волчанка, ревматоидный артрит и т. п.). Гаптеновый агранулоцитоз даёт высокий процент смертельных исходов. Заболевание также может привести к стойкой утрате трудоспособности.",D70
17,Аденовирусная инфекция,"группа инфекционных заболеваний человека, возбудителем которых являются аденовирусы. Они относятся к группе острых респираторных вирусных инфекций (ОРВИ) и характеризуется поражением слизистых оболочек верхних дыхательных путей, конъюнктив, лимфоидной ткани. Имеет место лихорадка при умеренно выраженных симптомах интоксикации.",B97.0
18,Аденовирусная инфекция,Впервые аденовирус (а именно вирус рода Mastadenovirus семейства Adenoviridae) был выделен Robert Huebner и W. Rowe в 1953 году при операции на миндалинах и аденоидах детей. [1] В настоящее время известно более 40 их разновидностей. Аденовирусы устойчивы ко влиянию внешней среды и к действию органических растворителей.,B97.0
19,Аденовирусная инфекция,"Источником заражения является больной любой формой аденовирусной инфекции или здоровый вирусоноситель. Существует большая опасность заражения от больных в начале заболевания, т.е. в течение первых двух недель. Однако бывает и так, что вирус продолжает выделяться в последующие 3-4 недели в период выздоровления.",B97.0
20,Аденовирусная инфекция,"Инфекция передаётся воздушно-капельным и фекально-оральным путём. Наиболее восприимчивы к ней дети в возрасте от 6 месяцев до 5 лет. Дети до 6 месяцев не восприимчивы к инфекции в связи с наличием трансплацентарного иммунитета, т.е. полученного от матери. После перенесённого заболевания возникает типоспецифический иммунитет.",B97.0
21,Аденовирусная инфекция,"Эпидемические вспышки заболевания регистрируют на протяжении всего года, особенно часто зимой, и в виде спорадических случаев в тёплое время года. Инфицированию способствует тесное общение детей. Часто болеют организованные детские коллективы — волнообразно, в течение 10-12 дней. Для всех типов аденовирусов характерно наличие общего комплемент связывающего антигена.",B97.0
22,Аденовирусная инфекция,"Инкубационный период от 1 дня до 2 недель. Заболевание начинается остро, с подъёма температуры. Характерным является тетрада симптомов: ринит — фарингит — конъюнктивит — лихорадка. Также отмечаются симптомы общей интоксикации — слабость, вялость, головная боль, отсутствие аппетита, сонливость. Встречаются кишечные проявления в виде болей в животе, тошноты и рвоты.[2] Лабораторная диагностика малоэффективна. В общих анализах крови неспецифические изменения (лимфоцитоз, лейкопения), смывы с носоглотки в практической медицине масштабно не применяются.",B97.0
23,Аденовирусная инфекция,"Основными осложнениями аденовирусной инфекции являются: вирусная пневмония, энцефалит, отиты, синуситы, поражение почек",B97.0
24,Аденовирусная инфекция,"В организм инфекция попадает через слизистые оболочки верхних дыхательных путей, реже — кишечник либо конъюнктиву. Вирус попадает в эпителиальные клетки и клетки лимфоидной ткани, поражает цитоплазму и ядро, где происходит репликация вирусной ДНК. Поражённые клетки прекращают деление и погибают. Вирусы проникают в другие клетки слизистых оболочек и лимфатических узлов, а также в кровь. Это сопровождается массивным экссудативным воспалением со стороны слизистых, т.е. накоплением в них жидкости. Появляется конъюнктивит. Далее в патологический процесс вовлекаются внутренние органы (лёгкие, бронхи, кишечник, почки, печень, селезёнка), а также головной мозг, мезентериальные лимфоузлы",B97.0
25,Аденовирусная инфекция,"Чаще всего встречаются синуситы, отиты, редко пневмонии. Нередко бывает ларингоспазм у детей раннего возраста.",B97.0
26,Акантоцефалёзы,"Развитие паразита происходит при обязательном участии хозяев — насекомых. Половозрелые гельминты паразитируют в кишечнике млекопитающих, редко — человека.",B83.8
27,Акантоцефалёзы,"Человек заражается при случайном заглатывании инвазированных жуков, тараканов и др. насекомых.Случаи заражения людей описаны в Судане, Иране, Италии, Израиле, Мадагаскаре, России.",B83.8
28,Акантоцефалёзы,"У больных отмечаются боли в животе, учащённый стул, иногда с примесью слизи, вздутие живота, рвота, слабость, лихорадка. Заболевание может носить хронический характер.",B83.8
29,Акантоцефалёзы,"У человека встречаются кориносомоз, монилиформоз и макраканторинхоз.",B83.8
30,Акантоцефалёзы,"Истребление синантропных насекомых (тараканов и пр.), соблюдение личной гигиены.",B83.8
31,Акантоцефалёзы,"Скребни имеют и ветеринарное значение. Наиболее распространены и опасны макраканторинхоз свиней, полиморфоз и филиколлёз уток, эхиноринхоз рыб.",B83.8
32,Актиномикоз,"хроническое инфекционное заболевание животных и человека из группы микозов, характеризующееся образованием гранулематозных очагов — актиномиком, в различных тканях и органах. Актиномикоз животных распространён во всех странах мира[",A42
33,Актиномикоз,"Основной возбудитель— патологии анаэробный гриб рода Actinomyces., относящийся к обширному ряду актиномицетов (лат. Actinomyces)[3]. В гранулематозных тканях и экссудатах обнаруживается в виде мелких серых зерен, называемых друзами, размеры которых в зависимости от возраста колоний составляют 20 — 250 мкм; средний размер друз 60 — 80 мкм. Цвет друз серый или желтоватый. При актиномикозных поражениях друзы наблюдаются не всегда.",A42
34,Актиномикоз,Возбудитель актиномикоза чувствителен к высокой температуре; при нагревании до 70 — 80 °С погибает в течение 5 мин. Актиномицеты устойчивы к высушиванию; низкая температура консервирует их на 1-2 года. За 5-7 мин убивает актиномицеты 3%-ный раствор формалина.,A42
35,Актиномикоз,"Заболевание встречается во всем мире, как правило, спорадически. Чаще заболевают мужчины, преимущественно жители городов.",A42
36,Актиномикоз,"Инкубационный период составляет 2-3 недели, но может быть продолжительностью и несколько месяцев. Актиномикоз может протекать остро или перейти в хроническую форму с периодическими обострениями. При каждой форме характерно развитие плотного малоболезненного отёка, который в дальнейшем размягчается и образует свищ. Подкожно-подмышечная форма может сопровождаться повышением температуры тела до 38 °С, головной болью, общим недомоганием. Поражение бронхов протекает по типу гнойного бронхита, поражение лёгких — как пневмония; возможно возникновение абсцесса легкого. Абдоминальная форма чаще проявляется образованием очага поражения в кишечнике и сопровождается болями, повышением температуры тела, нарушениями функций пищеварительного тракта, признаками раздражения брюшины. Возможно поражение других органов и тканей: полости носа и носоглотки, щитовидной железы, почек и др. Иногда наблюдается распространение возбудителя с кровью, в результате чего развивается генерализованный актиномикоз, клиническая картина которого напоминает сепсис.",A42
37,Актиномикоз,"Профилактические мероприятия: своевременное лечение очагов инфекции, общее повышение резистентности организма. Меры иммунопрофилактики не разработаны.",A42
38,Актиномикоз,"Необходим длительный курс антимикробной терапии и высокие дозы препаратов. Лечение подбирают индивидуально, однако в тяжёлых случаях рекомендуется бензилпенициллин, 18-24 млн ед/сут в/в на протяжении 2-6 нед, с последующим приёмом внутрь феноксиметилпенициллина или амоксициллина в течение 6-12 мес. В более лёгких случаях, в частности при шейно-челюстно-лицевом актиномикозе, достаточно менее интенсивного лечения. Если антимикробную терапию продолжают некоторое время после исчезновения симптоматики, риск рецидива (одной из характерных черт этой инфекции) удаётся свести к минимуму. При аллергии к пенициллинам обычно используют тетрациклин, эритромицин, миноциклин или клиндамицин; иногда годятся цефалоспорины первого поколения. Из новых антимикробных средств, по-видимому, эффективны имипенем/циластатин и цефтриаксон. Метронидазол и аминогликозиды не используют.",A42
39,Поллиноз,"известный также как «сенная лихорадка» («сезонная аллергия», «аллергия») — воспалительное заболевание слизистой носа, характеризующееся эпизодическим нарушением назального дыхания, слизистыми выделениями из носа, чиханием, в основе которых лежат аллергические реакции немедленного типа.",J30.1
